loss,acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
56.47219212849935,0.5777777777777777,1703912282,,False,1,3d73d703,2023-12-30_04-58-02,12.89076018333435,12.89076018333435,2979,dc90b0b534e2,172.28.0.12,12.89076018333435,1
30.643364588419598,0.6555555555555556,1703912292,,False,2,3d73d703,2023-12-30_04-58-12,10.459627866744995,23.350388050079346,2979,dc90b0b534e2,172.28.0.12,23.350388050079346,2
15.376442273457846,0.6611111111111111,1703912303,,False,3,3d73d703,2023-12-30_04-58-23,10.456048011779785,33.80643606185913,2979,dc90b0b534e2,172.28.0.12,33.80643606185913,3
51.22863515218099,0.5722222222222222,1703912312,,False,4,3d73d703,2023-12-30_04-58-32,9.599290609359741,43.40572667121887,2979,dc90b0b534e2,172.28.0.12,43.40572667121887,4
22.494403839111328,0.6611111111111111,1703912322,,False,5,3d73d703,2023-12-30_04-58-42,10.168696880340576,53.57442355155945,2979,dc90b0b534e2,172.28.0.12,53.57442355155945,5
20.450095812479656,0.7166666666666667,1703912333,,False,6,3d73d703,2023-12-30_04-58-53,10.42268967628479,63.99711322784424,2979,dc90b0b534e2,172.28.0.12,63.99711322784424,6
23.851433436075848,0.6611111111111111,1703912343,,False,7,3d73d703,2023-12-30_04-59-03,9.929847955703735,73.92696118354797,2979,dc90b0b534e2,172.28.0.12,73.92696118354797,7
43.48987325032552,0.5944444444444444,1703912353,,False,8,3d73d703,2023-12-30_04-59-13,9.752638816833496,83.67960000038147,2979,dc90b0b534e2,172.28.0.12,83.67960000038147,8
21.980741500854492,0.6722222222222223,1703912363,,False,9,3d73d703,2023-12-30_04-59-23,10.519184827804565,94.19878482818604,2979,dc90b0b534e2,172.28.0.12,94.19878482818604,9
33.90501848856608,0.6055555555555555,1703912373,,False,10,3d73d703,2023-12-30_04-59-33,10.458677291870117,104.65746212005615,2979,dc90b0b534e2,172.28.0.12,104.65746212005615,10
